tid,topicId,replies,favorite,support,historyPV,yesterdayPV/yesterdayUV,yesterdayUV,dateline
11932394,2,43,0,0,10232,1,1,20495104
12258686,2,104,,2,5315,1,1,3536193
11909596,2,21,,1,2879,1,1,21958468
11833364,4,8,,2,716,1,1,27460612
12211644,7,0,0,0,137,1,1,4517084
12307789,2,11,0,0,1362,1,1,1782175
10983788,18,180,,58,87769,1,1,79777382
11938828,1,2,,0,423,1,1,20120700
11849304,7,2,0,0,444,1,2,25895210
9539060,10,54,,0,33672,1,1,128812629
12223128,7,7,0,0,305,1,1,4220947
11967219,1,29,,1,6950,1,1,18131235
12035530,7,95,,8,20235,1,1,12066731
12089852,1,42,,0,3255,1,1,9730042
12110506,2,19,0,0,1606,1,1,8741950
12251582,7,10,,2,690,1,1,3725941
12361186,2,1,0,0,482,1,1,556856
11939544,2,17,0,0,2116,1,1,20064964
11950081,2,13,0,0,1329,1,1,19456388
12305419,4,4,,0,64,1,2,1891105
11987114,7,16,0,0,1521,1,1,16432344
12125790,,8,,0,1051,1,1,8080600
11837023,9,4,0,0,2335,1,1,27113106
1145185,,310310,,60,1128255,1,1,276101711
12365538,2,13,0,0,1148,1,1,334871
12274477,2,60,,1,1371,2,1,3113451
12092400,4,115,,4,7105,1,1,9589039
12174537,6,12,0,0,1954,1,1,6033440
12113602,2,0,0,0,206,1,1,8610821
1627101,,9,0,0,97,1,1,264385774
11967765,,43,,1,11596,1,1,18071251
12034004,2,23,,0,960,1,1,12179196
12151716,12,17,,0,1795,2,1,6885628
12059323,7,3,0,0,194,1,1,10792332
12292400,23,2,0,0,141,1,1,2336456
12113311,7,18,0,0,810,1,1,8617058
12274382,6,0,0,1,444,1,1,3117712
11888591,2,35,0,1,4203,1,1,23486893
11968867,7,2,0,0,220,1,1,17978761
7686533,,3,0,0,1890,1,1,169331938
12154037,7,25,0,0,668,1,1,6761979
12128825,23,3,0,0,413,2,1,7955293
11964668,12,5,,0,1411,1,1,18323076
11913743,2,9,,0,1415,1,1,21686965
11970839,2,46,,0,5985,1,2,17812565
12171274,4,22,,0,1022,1,1,6153638
11892217,4,6,0,0,1895,1,1,23230238
12335813,7,41,,0,1697,1,1,1109551
